district,NA,DEM,REP,Other,total,dem_share,dem_wasted,rep_wasted
1,0,103189,157393,0,260582,0.3959943511063696,103189,27102
2,0,159731,76316,0,236047,0.6766915063525485,41707.5,76316
3,0,75379,125114,0,200493,0.3759682382926087,75379,24867.5
4,0,134175,68523,0,202698,0.6619453571322854,32826,68523
5,0,115210,169290,0,284500,0.4049560632688928,115210,27040
6,0,135174,65667,0,200841,0.6730398673577607,34753.5,65667
7,0,110815,104566,0,215381,0.5145068506507073,3124.5,104566
8,42250,55768,108269,0,164037,0.3399720794698757,55768,26250.5
9,0,78302,117652,0,195954,0.3995937822141931,78302,19675
10,0,122786,62036,0,184822,0.6643473179599831,30375,62036
11,0,130335,83569,0,213904,0.6093153938215274,23383,83569
12,57332,190276,0,0,190276,1,95138,0
13,0,83693,58500,0,142193,0.5885873425555407,12596.5,58500
14,32138,142613,17586,0,160199,0.8902240338578893,62513.5,17586
15,0,140584,68239,0,208823,0.6732208616866916,36172.5,68239
16,86039,169476,0,0,169476,1,84738,0
17,0,168740,37068,0,205808,0.8198903832698438,65836,37068
18,53231,113312,0,0,113312,1,56656,0
19,0,166953,51713,0,218666,0.7635069009356736,57620,51713
20,129418,0,44570,0,44570,0,0,22285
21,0,148956,52980,0,201936,0.737639648205372,47988,52980
22,0,72064,82430,0,154494,0.4664517715898352,72064,5183
23,79940,119072,3637,0,122709,0.9703607722334955,57717.5,3637
24,0,104903,55823,0,160726,0.6526822044970945,24540,55823
25,13110,104081,39139,0,143220,0.7267211283340316,32471,39139
26,5492,106949,41701,0,148650,0.7194685502859065,32624,41701
27,0,58741,53705,0,112446,0.5223929708482293,2518,53705
28,30297,153193,40964,0,194157,0.7890161055228501,56114.5,40964
29,0,93760,57467,0,151227,0.6199951066939104,18146.5,57467
30,0,159740,83676,0,243416,0.6562428106615834,38032,83676
31,4402,63738,48238,0,111976,0.569211259555619,7750,48238
32,121726,9871,70020,0,79891,0.12355584483859258,9871,30074.5
33,13436,42137,70364,0,112501,0.37454778179749515,42137,14113.5
34,119223,71029,0,0,71029,1,35514.5,0
35,1765,50235,50851,0,101086,0.49695308944858835,50235,308
36,0,84079,70008,0,154087,0.5456592704121698,7035.5,70008
37,73224,121337,0,0,121337,1,60668.5,0
38,0,116607,68278,0,184885,0.6307001649674122,24164.5,68278
39,0,71416,55515,0,126931,0.5626363930009217,7950.5,55515
40,0,123374,109043,0,232417,0.5308303609460582,7165.5,109043
41,0,141958,95414,0,237372,0.5980402069325784,23272,95414
42,0,149500,123037,0,272537,0.5485493712780283,13231.5,123037
43,0,87722,41822,0,129544,0.6771598839004508,22950,41822
44,0,144547,79874,0,224421,0.6440885656868118,32336.5,79874
45,0,83490,53625,0,137115,0.6089049338146811,14932.5,53625
46,0,113844,60888,0,174732,0.6515349220520569,26478,60888
47,0,125077,109532,0,234609,0.5331295900839269,7772.5,109532
48,0,97805,65795,0,163600,0.5978300733496332,16005,65795
49,0,99980,51537,0,151517,0.6598599497086135,24221.5,51537
50,0,90465,65737,0,156202,0.5791539160830207,12364,65737
51,17,160471,52538,0,213009,0.753353144702806,53966.5,52538
52,41188,115721,17620,0,133341,0.8678575981881042,49050.5,17620
